atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06188591273721217,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.03792128052188181,0.024390243902439025
2,6,0,2,3,0,0,0,0,1,12.011,-0.08850169801815914,0.04878048780487805
3,6,0,2,3,0,0,0,0,1,12.011,-0.08476270749375747,0.07317073170731707
4,6,0,2,4,0,0,0,0,2,12.011,-0.016907502884977985,0.0975609756097561
5,6,0,2,3,0,0,0,0,1,12.011,-0.0844408768228585,0.12195121951219512
6,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523929397,0.14634146341463414
7,6,0,2,4,0,0,0,0,2,12.011,-0.01689606769645086,0.17073170731707318
8,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982,0.1951219512195122
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444087541509329,0.21951219512195122
10,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725831092,0.24390243902439024
11,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978733703,0.2682926829268293
12,6,0,2,3,0,0,0,0,1,12.011,-0.08822748139083754,0.2926829268292683
13,6,0,2,4,0,0,0,0,2,12.011,-0.035062211935162645,0.3170731707317073
14,6,0,2,4,0,0,0,0,2,12.011,-0.04982460796469167,0.34146341463414637
15,6,0,2,4,0,0,0,0,2,12.011,-0.05299566025909196,0.36585365853658536
16,6,0,2,4,0,0,0,0,2,12.011,-0.05273705846365323,0.3902439024390244
17,6,0,2,4,0,0,0,0,2,12.011,-0.04278293403786584,0.4146341463414634
18,6,0,2,4,0,0,0,0,2,12.011,0.04551623980273753,0.43902439024390244
19,6,0,3,3,0,0,0,0,0,12.011,0.3057658044259222,0.4634146341463415
20,8,0,1,3,0,0,0,0,0,15.999,-0.2522843370132078,0.4878048780487805
21,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289611837,0.4878048780487805
22,6,0,3,4,0,0,2,1,1,12.011,0.1594008276640783,0.5121951219512195
23,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.5365853658536586
24,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.5609756097560976
25,6,0,3,3,0,0,0,0,0,12.011,0.30541557297050537,0.5853658536585366
26,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.6097560975609756
27,6,0,2,4,0,0,0,0,2,12.011,0.045503081092636906,0.6097560975609756
28,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097697,0.6341463414634146
29,6,0,2,4,0,0,0,0,2,12.011,-0.05274782396119596,0.6585365853658537
30,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203267902,0.6829268292682927
31,6,0,2,4,0,0,0,0,2,12.011,-0.05301084160698904,0.7073170731707317
32,6,0,2,4,0,0,0,0,2,12.011,-0.04982482680296463,0.7317073170731707
33,6,0,2,4,0,0,0,0,2,12.011,-0.03506221354173479,0.7560975609756098
34,6,0,2,3,0,0,0,0,1,12.011,-0.0882274828770543,0.7804878048780488
35,6,0,2,3,0,0,0,0,1,12.011,-0.08475265144869658,0.8048780487804879
36,6,0,2,4,0,0,0,0,2,12.011,-0.016918589768507436,0.8292682926829268
37,6,0,2,3,0,0,0,0,1,12.011,-0.0847526514539021,0.8536585365853658
38,6,0,2,3,0,0,0,0,1,12.011,-0.08822748427126001,0.8780487804878049
39,6,0,2,4,0,0,0,0,2,12.011,-0.035062386030026954,0.9024390243902439
40,6,0,2,4,0,0,0,0,2,12.011,-0.04983488780141361,0.926829268292683
41,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608926,0.9512195121951219
42,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.975609756097561
43,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,1.0
44,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.5365853658536586
45,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.5609756097560976
46,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5853658536585366
47,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.6097560975609756
48,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.6097560975609756
49,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.6097560975609756
50,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6341463414634146
51,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6585365853658537
52,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6829268292682927
53,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7073170731707317
54,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7073170731707317
55,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7073170731707317
